"Issue Type","Epic Name","Summary","Description","Labels","Epic Link"
"STORY","","As a manager, I want to progress appraisals through workflow stages so that the cycle can be completed.","As a manager, I want to progress appraisals through workflow stages so that the cycle can be completed.

Requirements: PW-PERF-15, PW-PERF-16

Acceptance Criteria:
- Given an appraisal is in Self-Review, when the employee submits, then the status changes to Manager-Review if mandatory fields are complete.
- Given an appraisal is in Manager-Review, when the manager submits, then the status moves to HR-Review or Finalised according to configuration.
- Given an appraisal is Finalised, when a non-HR user tries to edit it, then the system blocks changes; when an HR override occurs, an audit log entry is written.","Performance","Run Appraisal Workflow & Scoring"
"STORY","","As an HR or manager, I want section and overall scores to be computed automatically so that ratings are consistent and transparent.","As an HR or manager, I want section and overall scores to be computed automatically so that ratings are consistent and transparent.

Requirements: PW-PERF-17, PW-PERF-18, PW-PERF-19

Acceptance Criteria:
- Given scoring sections have ratings, when the system calculates section scores, then it uses configured formulas to compute self, manager and final section scores.
- Given section weights are defined, when the overall score is calculated, then it is a weighted sum of final section scores.
- Given rating bands exist, when the overall score is stored, then the corresponding rating band is also stored on the appraisal.","Performance","Run Appraisal Workflow & Scoring"
"STORY","","As a manager, I want to capture growth and wellness actions at the end of an appraisal so that follow-ups are explicit.","As a manager, I want to capture growth and wellness actions at the end of an appraisal so that follow-ups are explicit.

Requirements: PW-PERF-20

Acceptance Criteria:
- Given an appraisal is nearing completion, when I open the actions section, then I can add 3–5 actions tagged as performance, learning or wellness.
- Given no action is tagged as wellness, when I attempt to finalise the appraisal, then the system warns me that at least one wellness-related action is recommended or required per configuration.","Performance","Growth & Wellness Commitments"
"STORY","","As a wellness or platform owner, I want wellness actions to be exposed to ZHEP so that they become part of the broader wellness journey.","As a wellness or platform owner, I want wellness actions to be exposed to ZHEP so that they become part of the broader wellness journey.

Requirements: PW-PERF-21, PW-INT-01

Acceptance Criteria:
- Given an appraisal has wellness-tagged actions, when the appraisal is finalised, then an event or API call is emitted including those actions for ZHEP.
- Given ZHEP integration is enabled, when the event is successfully delivered, then the actions are marked as synced in PeopleWell.","Performance","Growth & Wellness Commitments"
"STORY","","As a manager or employee, I want to record 1:1 check-ins with wellbeing scores so that we can track wellbeing trends.","As a manager or employee, I want to record 1:1 check-ins with wellbeing scores so that we can track wellbeing trends.

Requirements: PW-PERF-22

Acceptance Criteria:
- Given I log a check-in, when I enter date/time, summary and numeric scores for energy, workload and stress, then the system stores the check-in linked to the employee and manager.","Performance","Continuous Check-ins & Wellbeing Signals"
"STORY","","As a product or compliance owner, I want check-ins to feed insights but not be used directly for punitive actions so that people feel safe being honest.","As a product or compliance owner, I want check-ins to feed insights but not be used directly for punitive actions so that people feel safe being honest.

Requirements: PW-PERF-23, PW-PERF-24

Acceptance Criteria:
- Given the Manager Copilot requests wellbeing context, when the system compiles signals, then check-in trends are included as one of several inputs.
- Given someone attempts to build a punitive list using check-in scores, when reporting features are configured, then check-in fields are not available as direct filters for disciplinary lists.","Performance","Continuous Check-ins & Wellbeing Signals"
"STORY","","As a product owner or HR user, I want the system to award points for healthy behaviours so that we can positively reinforce good patterns.","As a product owner or HR user, I want the system to award points for healthy behaviours so that we can positively reinforce good patterns.

Requirements: PW-GAME-01, PW-GAME-02

Acceptance Criteria:
- Given a rule exists for completing a self-review on time, when an employee submits before the deadline, then the system creates a points transaction with the configured value.
- Given a rule exists for taking a planned multi-day break, when the leave is approved, then the system awards points according to the rule.
- Given tenant-safe rule templates, when an admin configures new rules, then only allowed, wellness-safe rule types are available.","Gamification","Points & Levels for Healthy Habits"
"STORY","","As an employee, I want to see my level based on cumulative points so that I understand my progress in building healthy habits.","As an employee, I want to see my level based on cumulative points so that I understand my progress in building healthy habits.

Requirements: PW-GAME-03, PW-GAME-04, PW-GAME-05

Acceptance Criteria:
- Given level thresholds are defined, when my cumulative points pass a threshold, then the system updates my current level.
- Given I open my profile or dashboard, when my level is computed, then I see my current level and a short description.
- Given competitive leaderboards are out of scope, when I look for rankings by level, then no public ranking is available.","Gamification","Points & Levels for Healthy Habits"
"STORY","","As an HR or wellness admin, I want to configure team wellness challenges so that teams are nudged towards healthy patterns.","As an HR or wellness admin, I want to configure team wellness challenges so that teams are nudged towards healthy patterns.

Requirements: PW-GAME-06

Acceptance Criteria:
- Given I create a challenge like Quarter of Recovery with dates and targets, when I assign it to teams, then the system begins tracking relevant behaviours for those teams.","Gamification","Team Wellness Challenges"
"STORY","","As a manager, I want to see my team’s challenge progress so that I know whether we are moving in the right direction.","As a manager, I want to see my team’s challenge progress so that I know whether we are moving in the right direction.

Requirements: PW-GAME-07, PW-GAME-08

Acceptance Criteria:
- Given a challenge is active for my team, when I open the challenge dashboard, then I see team-level completion percentage and high-level trends.
- Given HR views challenge reporting by org unit, when they open the view, then they see aggregated completion rates and summary insights per team.","Gamification","Team Wellness Challenges"
"STORY","","As a manager, I want to see a health stewardship scorecard so that I understand how well I support wellbeing in my team.","As a manager, I want to see a health stewardship scorecard so that I understand how well I support wellbeing in my team.

Requirements: PW-GAME-09, PW-GAME-10

Acceptance Criteria:
- Given data exists on planned breaks, check-ins and Recovery Index for my team, when the system computes my scorecard, then it shows key metrics for the selected period.
- Given scorecards are private, when I view mine, then only I and HR have access and no leaderboard of managers is available.","Gamification","Manager Health Stewardship Scorecards"
"STORY","","As an employee, I want to see wellness rings on my dashboard so that I get quick visual feedback on my habits.","As an employee, I want to see wellness rings on my dashboard so that I get quick visual feedback on my habits.

Requirements: PW-GAME-11

Acceptance Criteria:
- Given underlying metrics for leave, self-reviews and wellness actions, when I open my dashboard, then the system renders recovery, reflection and wellness indicators.","Gamification","Wellness Visuals & Micro-Rewards"
"STORY","","As an HR or wellness admin, I want the system to award micro-badges for positive behaviours so that employees get positive reinforcement.","As an HR or wellness admin, I want the system to award micro-badges for positive behaviours so that employees get positive reinforcement.

Requirements: PW-GAME-12

Acceptance Criteria:
- Given a badge criterion is defined, when an employee meets that criterion, then the system awards the badge and optionally shows a congratulatory message.
- Given badges are awarded, when employees view their profile, then they see their earned wellness badges.","Gamification","Wellness Visuals & Micro-Rewards"
"STORY","","As an employee, I want to ask the Employee Copilot HR questions so that I can quickly understand policies and my own data.","As an employee, I want to ask the Employee Copilot HR questions so that I can quickly understand policies and my own data.

Requirements: PW-AI-01, PW-AI-02

Acceptance Criteria:
- Given I am logged in as an employee, when I ask the copilot about my annual leave, then it responds using my current leave balance for the tenant.
- Given I ask about a specific HR policy, when the copilot responds, then it cites tenant-specific policy content and is labelled as AI-generated.","AI","Employee Copilot for HR & Wellness Questions"
"STORY","","As an employee, I want to ask the Employee Copilot wellness process questions so that I can easily access wellness programs available to me.","As an employee, I want to ask the Employee Copilot wellness process questions so that I can easily access wellness programs available to me.

Requirements: PW-AI-01, PW-AI-02

Acceptance Criteria:
- Given ZHEP wellness programs are integrated, when I ask how to access a mental health day, then the copilot explains the process and points to relevant leave types or programs using only non-clinical catalog data.","AI","Employee Copilot for HR & Wellness Questions"
"STORY","","As a manager, I want to ask the Manager Copilot about team recovery so that I can plan interventions.","As a manager, I want to ask the Manager Copilot about team recovery so that I can plan interventions.

Requirements: PW-AI-03, PW-AI-04

Acceptance Criteria:
- Given I am a manager, when I ask for a summary of my team’s leave and recovery for the quarter, then the copilot returns a short narrative with key metrics and indicates the data it used.
- Given the copilot suggests actions, when I read them, then they are phrased as recommendations and no actions are taken automatically.","AI","Manager Insight Copilot"
"STORY","","As a manager, I want the system to generate a draft appraisal summary so that I can save time while refining the message.","As a manager, I want the system to generate a draft appraisal summary so that I can save time while refining the message.

Requirements: PW-AI-05, PW-AI-06, PW-AI-07

Acceptance Criteria:
- Given an appraisal has sufficient content, when I request an AI summary, then the system generates and displays a draft labelled as AI-generated.
- Given I edit the draft summary, when I save it, then the stored summary matches my edited version.
- Given a draft is AI-generated, when I attempt to finalise the appraisal without review, then the system requires explicit confirmation.","AI","Performance Summaries & Coaching Assistance"
"STORY","","As a manager, I want coaching suggestions while writing feedback so that my comments are constructive and wellbeing-friendly.","As a manager, I want coaching suggestions while writing feedback so that my comments are constructive and wellbeing-friendly.

Requirements: PW-AI-08, PW-AI-09

Acceptance Criteria:
- Given I am typing feedback, when I request coaching suggestions, then the system proposes alternative phrasing that is specific and non-punitive.
- Given coaching suggestions appear, when I review them, then I can accept, modify or reject them and they remain clearly labelled as AI suggestions.","AI","Performance Summaries & Coaching Assistance"
"STORY","","As an employee or manager, I want HR requests to be automatically categorised so that they reach the right HR person quickly.","As an employee or manager, I want HR requests to be automatically categorised so that they reach the right HR person quickly.

Requirements: PW-AI-10, PW-AI-11

Acceptance Criteria:
- Given I submit an HR request with free-text description, when the request is saved, then the system classifies it into a suggested category such as leave, contract or policy.
- Given a suggested category exists, when HR reviews the request, then they can confirm or change the category before assignment.","AI","Smart HR Request Triage"
"STORY","","As an HR agent, I want draft responses for common HR questions so that I can respond faster with consistent information.","As an HR agent, I want draft responses for common HR questions so that I can respond faster with consistent information.

Requirements: PW-AI-12

Acceptance Criteria:
- Given a request about a standard policy, when I open it, then the system provides a draft response generated from policy documents.
- Given a draft response exists, when I send a reply, then the content sent matches my reviewed and edited version.","AI","Smart HR Request Triage"
"STORY","","As an end user, I want AI outputs to be clearly labelled and rateable so that I know what is machine-generated and can flag issues.","As an end user, I want AI outputs to be clearly labelled and rateable so that I know what is machine-generated and can flag issues.

Requirements: PW-AI-13

Acceptance Criteria:
- Given any AI-generated content is displayed, when it appears, then it is clearly marked as an AI-generated suggestion or draft.
- Given I disagree with an AI output, when I click a feedback control, then the system records that the output was wrong or unhelpful.","AI","Safe & Transparent AI Governance"
"STORY","","As a security architect, I want AI prompts and context to be tenant- and role-scoped so that no cross-tenant or unauthorised data is used.","As a security architect, I want AI prompts and context to be tenant- and role-scoped so that no cross-tenant or unauthorised data is used.

Requirements: PW-AI-14, PW-AI-15

Acceptance Criteria:
- Given an AI request is made within Tenant A, when the system builds the prompt, then it includes only Tenant A data authorised for that user’s role.
- Given two tenants exist, when AI responses are generated, then no response contains combined data from both tenants.","AI","Safe & Transparent AI Governance"
"STORY","","As an employee, I want to view and update permitted personal details so that my information stays accurate without going through HR for minor changes.","As an employee, I want to view and update permitted personal details so that my information stays accurate without going through HR for minor changes.

Requirements: PW-ESS-01, PW-NFR-02

Acceptance Criteria:
- Given I am logged in as an employee, when I open my profile, then I see my personal details with some fields editable and others read-only.
- Given HR has configured which fields are editable, when I attempt to change a non-editable field, then the system prevents the change and explains why.","ESS","Employee Self-Service Hub"
"STORY","","As an employee, I want to view my employment, leave and performance history so that I have full visibility into my data.","As an employee, I want to view my employment, leave and performance history so that I have full visibility into my data.

Requirements: PW-ESS-01

Acceptance Criteria:
- Given I open my employment view, when the page loads, then I see my role, org unit, manager and contract summary.
- Given I open my leave view, when it loads, then I see my current leave balances and a list of past requests with statuses.
- Given I open my performance view, when it loads, then I see my current and historical appraisals and outcomes.","ESS","Employee Self-Service Hub"
"STORY","","As a manager, I want a single console to see my team, leave approvals and performance tasks so that I can manage people efficiently.","As a manager, I want a single console to see my team, leave approvals and performance tasks so that I can manage people efficiently.

Requirements: PW-MSS-01

Acceptance Criteria:
- Given I am logged in as a manager, when I open the manager console, then I see my direct reports, pending leave approvals and active performance actions.
- Given I click on a direct report, when their mini-profile opens, then I see their role, org unit, leave summary and performance status.","MSS","Manager Self-Service Console"
"STORY","","As a system admin, I want the frontend to adapt to user roles so that each user only sees features they should access.","As a system admin, I want the frontend to adapt to user roles so that each user only sees features they should access.

Requirements: PW-ESS-01, PW-MSS-01, PW-NFR-02, PW-NFR-03

Acceptance Criteria:
- Given a user has only the Employee role, when they log in, then they see only ESS features and not manager or HR consoles.
- Given a user has Manager and Employee roles, when they log in, then they can access both employee and manager views with correct scoping.
- Given an Exec role is configured, when an Exec logs in, then they see aggregate reports but not personal data beyond their authorisation.","ESS","Role-Aware Navigation & Permissions in Self-Service"
"STORY","","As an employee, I want to see Recovery Index, wellness rings and badges in self-service so that wellness feels part of my normal work tools.","As an employee, I want to see Recovery Index, wellness rings and badges in self-service so that wellness feels part of my normal work tools.

Requirements: PW-ESS-01, PW-GAME-11, PW-GAME-12, PW-LEAVE-19, PW-LEAVE-20

Acceptance Criteria:
- Given Recovery Index and gamification data are computed, when I open my ESS dashboard, then I see recovery, reflection and wellness indicators plus any badges earned.","ESS","Self-Service Wellness Experience"
"STORY","","As a manager, I want to see team-level wellness indicators in MSS so that I can act early when rest patterns are unhealthy.","As a manager, I want to see team-level wellness indicators in MSS so that I can act early when rest patterns are unhealthy.

Requirements: PW-MSS-01, PW-LEAVE-21, PW-LEAVE-22, PW-GAME-08, PW-GAME-10

Acceptance Criteria:
- Given team Recovery Index and challenge completion data exist, when I open the team wellbeing view, then I see aggregated Recovery distribution, challenge progress and my private manager health scorecard.","MSS","Self-Service Wellness Experience"
"STORY","","As a platform engineer, I want PeopleWell to emit wellness-relevant events to ZHEP so that wellness journeys can be orchestrated centrally.","As a platform engineer, I want PeopleWell to emit wellness-relevant events to ZHEP so that wellness journeys can be orchestrated centrally.

Requirements: PW-INT-01, PW-LEAVE-23, PW-LEAVE-24, PW-PERF-21

Acceptance Criteria:
- Given an appraisal with wellness actions is finalised, when the event handler runs, then an event including those actions is sent to ZHEP according to tenant settings.
- Given leave-based wellness signals are generated, when the scheduled job runs, then aggregated under-use, over-use and no-break metrics are sent to ZHEP with required anonymisation.","Platform","ZHEP Wellness Integration"
"STORY","","As an integrations engineer, I want REST APIs for core objects so that external systems can integrate with PeopleWell.","As an integrations engineer, I want REST APIs for core objects so that external systems can integrate with PeopleWell.

Requirements: PW-INT-03, PW-NFR-06

Acceptance Criteria:
- Given I have a valid tenant-scoped API token, when I call APIs for employees, org units, leave and appraisals, then I receive data only for that tenant and according to my role.
- Given an unauthorised or cross-tenant request is made, when the API is called, then the system rejects the request with an appropriate error.","Platform","External Integrations & Open APIs"
"STORY","","As an integrations engineer, I want webhooks for key events so that downstream systems can react in near real time.","As an integrations engineer, I want webhooks for key events so that downstream systems can react in near real time.

Requirements: PW-NFR-07

Acceptance Criteria:
- Given a webhook endpoint is configured, when a leave request is approved, then the system posts a structured event payload to that endpoint.
- Given the endpoint is unavailable, when the webhook call fails, then the system retries or logs the failure according to the configured policy.","Platform","External Integrations & Open APIs"
"STORY","","As a security engineer, I want strict tenant isolation across UI, APIs and AI so that no tenant can see another tenant’s data.","As a security engineer, I want strict tenant isolation across UI, APIs and AI so that no tenant can see another tenant’s data.

Requirements: PW-NFR-01, PW-CORE-03, PW-CORE-04, PW-AI-14, PW-AI-15

Acceptance Criteria:
- Given a user is associated with Tenant A, when they perform searches or list operations, then only Tenant A entities are returned.
- Given an AI call is prepared, when the system builds the prompt, then only data from the requesting tenant and authorised scope is included.","Platform","Strong Multi-Tenancy & Isolation"
"STORY","","As an admin, I want to configure roles and assign them to users so that access is limited to what each role needs.","As an admin, I want to configure roles and assign them to users so that access is limited to what each role needs.

Requirements: PW-NFR-02, PW-NFR-03

Acceptance Criteria:
- Given base roles exist, when I assign Employee, Manager, HR, Admin or Exec roles to users, then those users see features consistent with their roles.
- Given manager scoping is enabled, when a manager views team data, then they see only direct or indirect reports according to the org structure.","Platform","Security, RBAC & Auditability"
"STORY","","As a compliance officer, I want key changes to be audited so that we can reconstruct critical decisions.","As a compliance officer, I want key changes to be audited so that we can reconstruct critical decisions.

Requirements: PW-NFR-04, PW-NFR-05

Acceptance Criteria:
- Given a manual leave balance adjustment is made, when it is saved, then the system records who made the change, when and the before and after values.
- Given a finalised appraisal is overridden by HR, when the change is saved, then an audit log entry is written with details of the modification.","Platform","Security, RBAC & Auditability"
"STORY","","As an HR admin, I want to configure simple approval workflows for leave and performance so that processes match our organisation.","As an HR admin, I want to configure simple approval workflows for leave and performance so that processes match our organisation.

Requirements: PW-NFR-08, PW-NFR-09, PW-LEAVE-12, PW-LEAVE-13, PW-PERF-15

Acceptance Criteria:
- Given I set leave approvals to Manager then HR, when employees submit leave requests, then those requests follow that sequence.
- Given I set performance workflow to Self, Manager, HR, when appraisals are generated, then they follow that sequence with matching statuses.
- Given workflows are configured via simple forms, when I update them, then I do not need advanced workflow tooling or BPMN modelling.","Platform","Configurability & Simple Workflow Engine"
"STORY","","As an implementation consultant, I want to import core data via CSV or Excel so that tenants can be onboarded quickly.","As an implementation consultant, I want to import core data via CSV or Excel so that tenants can be onboarded quickly.

Requirements: PW-NFR-10, PW-NFR-11

Acceptance Criteria:
- Given I download an import template for employees, org units or positions, when I upload a populated file, then the system validates the data and imports valid rows.
- Given some rows fail validation, when I view the import report, then I see line-level error messages that I can correct and re-upload.","Platform","Onboarding at Speed (Imports & Setup)"
"STORY","","As an HR or exec user, I want standard reports on headcount, leave, Recovery and gamification so that I can make data-driven decisions.","As an HR or exec user, I want standard reports on headcount, leave, Recovery and gamification so that I can make data-driven decisions.

Requirements: PW-NFR-12, PW-NFR-13, PW-LEAVE-21, PW-LEAVE-22, PW-GAME-08, PW-GAME-10

Acceptance Criteria:
- Given I open the reporting section, when I run headcount, leave usage, Recovery and gamification reports, then the system generates summaries grouped by org unit or manager as appropriate.
- Given a report is generated, when I export it, then I receive a CSV or Excel file with the same data.","Platform","Insightful Reporting & Analytics Foundations"
